Vendor,Model,Build,Extract 22.2,Extract 22.1,Build 22.2,Build 22.1,Ebay,rootable,SOC,GPU,Released,Conflict
Sony,Xperia_XA2_Plus,voyager,completes,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Sony,Xperia_XA2_Ultra,discovery,completes,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Sony,Xperia_XZ2,akari,completes,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Sony,Xperia_XZ3,akatsuki,completes,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Sony,Xperia_10_Plus,mermaid,completes,,,,,,Qualcomm SDM636 Snapdragon 636,,2019,
Sony,Xperia_1_II,pdx203,completes,,,,,,Qualcomm SM8250 Snapdragon 865,,2020,
Sony,Xperia_5_II,pdx206,completes,,,,,,Qualcomm SM8250 Snapdragon 865,,2020,
Sony,Xperia_5_III,pdx214,completes,,,,,,Qualcomm SM8350 Snapdragon 888,,2021,
Sony,Xperia_10_IV,pdx225,completes,,,,,,Qualcomm SM6375 Snapdragon 695,,2022,
Sony,Xperia_5_V,pdx237,completes,,,,,,Qualcomm SM6375 Snapdragon 695,,2023,
Sony,Xperia_10_V,pdx235,completes,,,,,,Qualcomm SM6375 Snapdragon 695,,2023,
Sony,Xperia_1_V,pdx234,completes,,,,,,Qualcomm SM6375 Snapdragon 695,,2023,
,,,,,,,,,,,,
Solana,Saga,ingot,completes,,,,,,Qualcomm SM8475 Snapdragon 8+ Gen1,,2023,
,,,,,,,,,,,,
Shift,Shift_6MQ,axolotl,completes,,,,not available,,Qualcomm SDM845 Snapdragon 845,,2020,
,,,,,,,,,,,,
Razer,Phone_,cheryl,completes,,,,,,Qualcomm SM6375 Snapdragon 695,,2017,
,Phone_2,aura,completes,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
,,,,,,,,,,,,
Nubia,Z17,nx563j,fails,,,,,,Qualcomm MSM8998 Snapdragon 835,,2017,
Nubia,Red_Magic_Mars,nx619j,fails,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Nubia,Z18,nx606j,fails,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Nubia,Mini_5G,TP1803,fails,,,,,,Qualcomm SM8150 Snapdragon 855,,2019,
Nubia,Red_Magic_5G,nx659j,fails,,,,,,Qualcomm SM8250 Snapdragon 865,,2020,
,,,,,,,,,,,,
Radxa,Zero_TV,radxa0,,,,,,,Amlogic S905Y2,,2020,
Radxa,Zero_Tablet,radxa0_tab,fails,,,,,,Amlogic S905Y2,,2020,
Radxa,Zero_2_TV,radxa02,fails,,,,,,Amlogic S905D3,,2022,
Radxa,Zero_2_Tablet,radxa02_tab,fails,,,,,,Amlogic S905D3,,2022,
,,,,,,,,,,,,
,,,,,,,,,,,,
Realme,Realme_10_Pro,luigi,completes,,,,,,Qualcomm SM6375 Snapdragon 695,,2022,
Realme,Realme_9_Pro,oscar,completes,,,,,,Qualcomm SM6375 Snapdragon 695,,2022,
,,,,,,,,,,,,
ZTE,Axon_9_Pro,akershus,fails,,,,,,Qualcomm SM6375 Snapdragon 695,,2018,
,,,,,,,,,,,,
BananaPI,M5_TV,m5,fails,,,,,,Amlogic S905X3,,2020,
,M5_Tablet,m5_tab,fails,,,,,,Amlogic S905X3,,2020,

